"","CTL.Fu.2010.080.I1T_","CTL.Fu.2010.080.I2T_","CTL.Fu.2010.080.N1T_","CTL.Fu.2010.080.N2T_","AGN.Fu.2010.080.B5T_","AGN.Fu.2010.080.K2T_","AGN.Fu.2010.080.K4T_","TGN.Fu.2010.080.B4T_","TGN.Fu.2010.080.T1T_","TGN.Fu.2010.080.T6T_","CGN.Fu.2010.080.T13T","CGN.Fu.2010.080.T7T_"
"1417381_at",2.77616639755809,2.72043047469223,2.43725522883566,2.70259325674714,2.78607630392809,4.4038940022007,2.47816295062588,4.68666529108749,4.59381567099463,5.12802190256335,3.44790383322203,2.78607630392809
"1426808_at",6.8739029225701,6.75381952256191,5.96215809355778,7.14609732713415,7.01452927826773,7.9206699911111,7.93031399341626,10.6093401203604,9.73425672919063,5.88395103237549,7.28938831029626,9.93086023434461
"1427747_a_at",2.32713788229858,2.28754314437685,2.28754314437685,2.32713788229858,2.32713788229858,2.32713788229858,2.32713788229858,2.9318256475334,5.94987967229732,2.32713788229858,2.32713788229858,6.99505793351288
"1434716_at",4.40936433136648,4.42867163899045,4.85506149082805,5.15397438220848,3.9522560134622,6.13672822625163,4.67891372257677,13.3073315908257,12.3694486797861,7.1658416367425,8.6856619370352,12.0914973762805
"1437726_x_at",5.49331960573901,4.60187555905668,3.79510740689204,5.30548316477541,6.20096499994359,7.91566606610479,5.64990522711767,7.61913057548385,8.07906367761116,8.08160196794793,6.86697412167813,5.6891597391153
"1449399_a_at",2.44067216436117,2.48649440199352,2.48615770762947,2.4265423828571,2.48649440199352,2.92268724399555,2.52397238627753,2.62951636577933,2.48615770762947,3.15470603558502,2.8418806571346,2.48615770762947
"1449401_at",2.41752371841141,2.28754314437685,2.28754314437685,2.29614066700791,2.43046862369392,4.381450738124,2.29614066700791,3.06655719748076,4.11900166348357,4.62248038807297,2.66195099840652,2.43046862369392
"1450364_a_at",2.33125870318128,2.33125870318128,2.33125870318128,2.33125870318128,2.54442666841681,2.30507414544496,2.33125870318128,8.58351648253496,6.50759742366256,2.33125870318128,2.68207351166031,5.90348647992702
