"","CTL.05.51_A_A","CTL.05.51_A_B","AGN.05.51_B_A","AGN.05.51_B_B","TGN.05.51_C_A","CGN.05.51_C_B","CTL.06.13_A3","CTL.06.13_A4","TGN.06.13_B3","AGN.06.13_B4","TGN.06.13_C3","CGN.06.13_C4"
"1422046_at",2.45099207112067,2.72717671021142,4.29444631608973,5.46674118033316,4.11368074023723,2.3566960888592,2.94093561429645,2.55127513433332,4.4990097198126,6.08587153120124,7.25289526438891,4.31826341638811
"1424351_at",9.89208659139867,9.54102823149728,7.93474793024593,8.49902257661352,9.77178555404939,9.55061360106002,9.91804789148208,9.82548257674826,9.4818784273936,9.35889278271435,8.73462143004782,9.61433292653256
"1424950_at",2.8148838497033,2.79465746804855,2.6294064369613,2.61871792732097,2.61871792732097,2.62569750122128,2.61871792732097,2.61871792732097,2.61871792732097,2.61871792732097,2.61871792732097,3.27992695657112
"1426808_at",9.80624958242003,9.5727602546788,11.4633579452518,11.6767748163571,12.6183321445334,12.0450336025149,9.74148766023896,9.68938739542902,12.2711746707181,11.616702432312,12.6137122532168,12.3952688096539
"1427420_at",2.40149692606612,2.41169754049064,2.41169754049064,2.44649675919444,2.41169754049064,2.43188030560025,2.41169754049064,2.38807714774575,2.38387070363692,2.38387070363692,2.41169754049064,4.27165098187748
"1427747_a_at",5.66382407622979,6.59375432790975,4.69537596758262,4.33931016365693,10.8645053000093,8.34720005945954,4.47632712161998,4.21601960617158,9.61987145267322,4.47632712161998,8.05068134754413,8.65909251649159
"1433889_at",2.21152137880368,2.22542487474993,2.36028717182786,2.22542487474993,2.34666452179648,3.25100816783891,2.22542487474993,2.22542487474993,2.22542487474993,2.21152137880368,2.22542487474993,2.99591138568617
"1434716_at",2.83707642628228,2.83707642628228,4.30593806097988,2.79431706041417,9.74208696019926,7.99923655788202,3.10117229061583,3.14582958546696,10.5307119744751,3.37241569891099,7.2335082068103,8.09976313858602
"1450364_a_at",2.58784268828765,2.31006664722201,2.33859745357527,2.34851596757889,3.2688917848928,2.51661723866453,2.34851596757889,2.34851596757889,5.02515695403981,2.34851596757889,2.34851596757889,2.34851596757889
"1451538_at",2.27351634171707,2.29871004028533,2.27351634171707,2.24410956985065,2.27351634171707,3.72998504555124,2.27351634171707,2.21152137880368,2.27351634171707,2.27351634171707,2.27351634171707,4.33874521760256
