"","CTL.05.51_A_A","CTL.05.51_A_B","AGN.05.51_B_A","AGN.05.51_B_B","TGN.05.51_C_A","CGN.05.51_C_B","CTL.06.13_A3","CTL.06.13_A4","TGN.06.13_B3","AGN.06.13_B4","TGN.06.13_C3","CGN.06.13_C4"
"1417381_at",5.68737787504523,5.18914053382916,9.01383622721149,9.73318321126458,10.3920273988323,10.2950315540577,6.07798035327264,5.90053141722822,10.6255776920455,9.87405737152616,11.0743079801577,7.4626527181014
"1426808_at",9.80624958242003,9.5727602546788,11.4633579452518,11.6767748163571,12.6183321445334,12.0450336025149,9.74148766023896,9.68938739542902,12.2711746707181,11.616702432312,12.6137122532168,12.3952688096539
"1427747_a_at",5.66382407622979,6.59375432790975,4.69537596758262,4.33931016365693,10.8645053000093,8.34720005945954,4.47632712161998,4.21601960617158,9.61987145267322,4.47632712161998,8.05068134754413,8.65909251649159
"1434716_at",2.83707642628228,2.83707642628228,4.30593806097988,2.79431706041417,9.74208696019926,7.99923655788202,3.10117229061583,3.14582958546696,10.5307119744751,3.37241569891099,7.2335082068103,8.09976313858602
"1437726_x_at",7.02954018544272,8.60867873701707,11.5367490892562,12.0833998362713,12.2218244216013,12.0375715531196,8.09156081487039,8.34313235066223,12.1497161013989,11.893607673674,12.4167447205395,11.6703897004642
"1449399_a_at",3.54112602077927,3.28113146673571,9.01733090768403,9.13310871147377,7.96756705264045,7.61965237316027,3.23875780400796,3.24223218063084,7.73295707882627,9.40289982620423,9.84983139472153,3.16966817246104
"1449401_at",5.08303585108914,4.77790192719999,8.94438793372613,9.66911325201173,10.4964247947314,10.1102420516232,6.28347440712959,6.4835016807241,10.7446751514344,10.0153052449381,10.8918213998702,8.83214687292803
"1450364_a_at",2.58784268828765,2.31006664722201,2.33859745357527,2.34851596757889,3.2688917848928,2.51661723866453,2.34851596757889,2.34851596757889,5.02515695403981,2.34851596757889,2.34851596757889,2.34851596757889
