array ID	sample ID	cohort
9_20GTP_(Mouse430_2).CEL	20T	CGN
8_E1TP_(Mouse430_2).CEL	E1T	CGN
7_T8TP_(Mouse430_2).CEL	T8T	TGN
6_E5TP_(Mouse430_2).CEL	E5T	TGN
5_E4TP_(Mouse430_2).CEL	E4T	CGN
4_B3TP_(Mouse430_2).CEL	B3T	AGN
3_D2TP+_(Mouse430_2).CEL	D2T	AGN
2_N2TP_(Mouse430_2).CEL	N2T	CTL
1_N1TP_(Mouse430_2).CEL	N1T	CTL
